지방청,표지,일시,풍향,유향,파향,기온,수온,시정,풍속,유속,파고,기압,습도,염분
부산청,부산항유도등부표(랜비),2019-03-01 02:08,144.0,,,9.7,14.5,,48.9,,,966.9,69.0,18.0
부산청,부산항신항소형선부두등대,2019-03-01 02:09,,,,,,6.3,,,,,,
부산청,부산항신항다목적부두,2019-03-01 02:09,,,,,,7.0,,,,,,
부산청,가덕도등대,2019-03-01 02:13,40.0,,,10.0,,,4.1,,,1007.5,62.0,
부산청,송정리등표,2019-03-01 02:13,1.0,,,8.3,,,4.2,,,1017.1,72.0,
부산청,오륙도등대,2019-03-01 02:13,83.0,,,10.0,,,0.98,,,1012.7,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:13,298.0,,,8.6,11.8,,3.8,,,1018.1,78.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 02:14,110.0,,,9.7,14.1,,2.3,,,1017.8,63.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:14,145.0,,,10.0,14.5,,41.9,,,1017.8,68.0,19.0
부산청,남항동방파제등대,2019-03-01 02:14,356.0,,,9.2,,,1.5,,,1017.0,68.0,
부산청,부산항신항다목적부두,2019-03-01 02:18,,,,,,7.2,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:18,,,,,,5.9,,,,,,
부산청,송정리등표,2019-03-01 02:19,1.0,,,7.8,,,3.8,,,1017.2,71.0,
부산청,오륙도등대,2019-03-01 02:19,158.0,,,10.0,,,0.3,,,1012.8,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:19,305.0,,,8.9,11.8,,3.7,,,1018.0,78.0,20.0
부산청,가덕도등대,2019-03-01 02:19,34.0,,,9.9,,,2.8,,,1007.6,61.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:20,106.0,,,9.7,14.0,,2.1,,,1018.0,63.0,19.0
부산청,남항동방파제등대,2019-03-01 02:23,353.0,,,9.1,,,1.7,,,1017.1,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:23,110.0,,,9.7,14.0,,2.5,,,1017.9,63.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:23,133.0,,,9.8,14.5,,40.0,,,1018.0,67.0,19.0
부산청,부산항신항다목적부두,2019-03-01 02:24,,,,,,6.7,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:24,,,,,,5.7,,,,,,
부산청,가덕도등대,2019-03-01 02:28,346.0,,,9.1,,,1.2,,,1007.6,62.0,
부산청,오륙도등대,2019-03-01 02:28,295.0,,,9.9,,,0.2,,,1012.8,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:28,303.0,,,8.0,11.8,,3.1,,,1018.1,76.0,18.0
부산청,송정리등표,2019-03-01 02:28,359.0,,,8.3,,,4.2,,,1017.2,72.0,
부산청,남항동방파제등대,2019-03-01 02:29,7.0,,,9.0,,,2.2,,,1017.0,67.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:29,116.0,,,10.1,14.0,,2.3,,,1017.8,64.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:29,117.0,,,9.8,14.5,,38.0,,,1017.9,67.0,18.0
부산청,부산항신항다목적부두,2019-03-01 02:33,,,,,,6.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:33,,,,,,5.9,,,,,,
부산청,송정리등표,2019-03-01 02:34,356.0,,,8.1,,,3.4,,,1017.2,73.0,
부산청,오륙도등대,2019-03-01 02:34,22.0,,,10.0,,,0.3,,,1012.9,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:34,312.0,,,8.7,11.8,,3.0,,,1018.1,78.0,19.0
부산청,가덕도등대,2019-03-01 02:34,311.0,,,8.9,,,1.7,,,1007.6,69.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:35,119.0,,,9.7,14.0,,2.3,,,1017.9,63.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:38,140.0,,,9.1,14.5,,32.0,,,1018.0,67.0,17.0
부산청,남항동방파제등대,2019-03-01 02:38,1.0,,,9.7,,,2.0,,,1017.1,69.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:38,121.0,,,10.0,14.0,,2.4,,,1017.9,64.0,19.0
부산청,부산항신항소형선부두등대,2019-03-01 02:39,,,,,,6.7,,,,,,
부산청,부산항신항다목적부두,2019-03-01 02:39,,,,,,6.3,,,,,,
부산청,송정리등표,2019-03-01 02:43,356.0,,,8.2,,,2.5,,,1017.3,73.0,
부산청,오륙도등대,2019-03-01 02:43,265.0,,,9.9,,,0.2,,,1012.9,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:43,312.0,,,8.1,11.8,,2.5,,,1018.1,79.0,18.0
부산청,가덕도등대,2019-03-01 02:43,261.0,,,9.0,,,0.2,,,1007.6,66.0,
부산청,남항동방파제등대,2019-03-01 02:44,354.0,,,9.7,,,1.1,,,1017.0,69.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:44,113.0,,,9.6,14.0,,1.9,,,1017.9,64.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:44,128.0,,,10.1,14.5,,25.0,,,1018.0,70.0,18.0
부산청,부산항신항다목적부두,2019-03-01 02:48,,,,,,5.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:48,,,,,,6.3,,,,,,
부산청,송정리등표,2019-03-01 02:49,349.0,,,8.2,,,2.6,,,1017.3,74.0,
부산청,오륙도등대,2019-03-01 02:49,241.0,,,9.9,,,0.3,,,1012.9,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 02:49,294.0,,,8.1,11.9,,2.8,,,1018.1,79.0,17.0
부산청,가덕도등대,2019-03-01 02:49,304.0,,,8.9,,,1.5,,,1007.6,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:50,111.0,,,9.6,14.0,,2.0,,,1017.9,65.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 02:53,178.0,,,9.0,14.5,,37.0,,,967.1,67.0,18.0
부산청,남항동방파제등대,2019-03-01 02:53,353.0,,,9.6,,,1.8,,,1017.1,69.0,
부산청,감천항유도등부표(랜비),2019-03-01 02:53,122.0,,,9.6,14.0,,1.9,,,1017.9,65.0,19.0
부산청,부산항신항다목적부두,2019-03-01 02:54,,,,,,5.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 02:54,,,,,,5.7,,,,,,
부산청,송정리등표,2019-03-01 02:58,,,,,,,,,,,,
부산청,오륙도등대,2019-03-01 02:58,,,,,,,,,,,,
부산청,부산항신항중앙C호등부표,2019-03-01 02:58,,,,,,,,,,,,
부산청,가덕도등대,2019-03-01 02:58,,,,,,,,,,,,
부산청,부산항유도등부표(랜비),2019-03-01 02:59,158.0,,,9.0,14.6,,29.0,,,1018.0,68.0,18.0
부산청,감천항유도등부표(랜비),2019-03-01 02:59,123.0,,,9.5,14.0,,1.9,,,1017.9,66.0,19.0
부산청,남항동방파제등대,2019-03-01 02:59,1.0,,,9.0,,,1.8,,,1017.1,69.0,
부산청,부산항신항다목적부두,2019-03-01 03:03,,,,,,6.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 03:03,,,,,,7.0,,,,,,
부산청,송정리등표,2019-03-01 03:04,349.0,,,7.7,,,2.4,,,1017.4,73.0,
부산청,오륙도등대,2019-03-01 03:04,352.0,,,9.9,,,1.2,,,1013.0,67.0,
부산청,가덕도등대,2019-03-01 03:04,0.0,,,8.5,,,0.0,,,1007.7,68.0,
부산청,감천항유도등부표(랜비),2019-03-01 03:05,117.0,,,9.7,14.0,,2.0,,,1017.9,68.0,19.0
부산청,부산항신항중앙C호등부표,2019-03-01 03:08,277.0,,,8.2,12.0,,2.5,,,1018.1,81.0,18.0
부산청,부산항유도등부표(랜비),2019-03-01 03:08,171.0,,,8.8,14.6,,36.0,,,1018.0,67.0,18.0
부산청,감천항유도등부표(랜비),2019-03-01 03:08,122.0,,,9.3,14.0,,1.9,,,967.0,67.0,19.0
부산청,남항동방파제등대,2019-03-01 03:08,354.0,,,9.5,,,1.7,,,1017.1,70.0,
